Value,Short Description,Description
0,N/A,Not Applicable
1,CR-OIL,CRUDE OIL
2,GAS,GAS
3,OIL,OIL
4,G-W,GAS-WATER
5,UND,UNDESIGNATED
6,WATER,WATER
7,BRINE,BRINE
8,WASTE,WASTE
9,SOLV,SOLVENT
10,STEAM,STEAM
11,AIR,AIR
12,SYN-CR,SYNTHETIC CRUDE
13,CO2,CARBON DIOXIDE
14,POLYM,POLYMER
15,N2,NITROGEN
16,LPG,LIQUID PETROLEUM GAS
17,CR-BIT,CRUDE BITUMEN
18,COND,CONDENSATE
19,OXYGEN,OXYGEN
20,ACID-G,ACID GAS
22,CBMOT,COALBED METHANE-COALS&OTH LITH
23,CBMCLS,COALBED METHANE-COALS ONLY
24,SHGOT,SHALE GAS&OTHER SOURCES
25,SHG,SHALE GAS ONLY
26,CBMSOT,CBM&SHALE&OTHER SOURCES
50,AN AMM,ANHYDROUS AMMONIA
51,CR O/B,CRUDE OIL/BIT
52,NAPHTH,NAPHTHA
53,PROPNE,PROPANE
54,BUTANE,BUTANES
55,ETHANE,ETHANE
56,ETH +,ETHANE PLUS
57,PENT +,PENTANES PLUS
58,DIESEL,DIESEL OIL
59,ALKH2O,ALKALINE WATER
60,MICLAR,MICELLAR
61,SKIM O,SKIM OIL
62,SK EM,SKIM EMULSION
63,AMMNIT,AMMONIUM NITRATE
64,SRCWTE,SOURCE WATER
65,SAND,SAND
66,ENTGAS,ENTRAINED GAS
98,MISC,MISCELLANEOUS
